grp,pp,S,DID,peakVelL,peakVelR,MTL,MTR,accTimeL,accTimeR,decTimeL,decTimeR,accQL,accQR,IPerfL,IPerfR,IPerfEfL,IPerfEfR,HarmonicityL,HarmonicityR,fL,fR,vfTrajCircularityL,vfTrajCircularityR,vfCircularityL,vfCircularityR,q1L,q1R,q2L,q2R,q3L,q3R,q4L,q4R,maxangleL,maxangleR,MI,rho,flsPC,flsAmp,phDiffMean,phDiffStd,d4D,d3D,d2D,d1D,minPeakDelay,minPeakDelayNorm
1,2,2,2,0.65621,0.6123,1.1925,1.198,0.3495,0.4315,0.838,0.758,0.29616,0.3475,4.4629,3.339,4.2197,0.45686,0.048229,0.16468,0.43777,0.43777,0.61769,0.64487,0.44316,0.51142,0.73148,0.75243,0.54905,0.54657,0.79134,0.76634,0.5939,0.50781,3.1416,3.095,0.68232,1,0.9729,0.83727,-0.075493,0.017554,1.0612,0.32817,0.96416,-0.046688,-0.058,-0.097275
1,2,2,2,0.76401,0.81392,1.167,1.157,0.38,0.422,0.783,0.741,0.32578,0.37257,4.5603,3.4572,4.6543,0.28199,0.076565,0.17823,0.43597,0.43597,0.74893,0.75931,0.34357,0.44062,0.89693,0.87292,0.63715,0.59838,0.84496,0.944,0.64623,0.56696,1.5708,3.1416,0.62533,1,0.95229,0.87862,-0.25002,0.024693,1.1169,0.45239,0.95208,-0.17847,-0.084,-0.14396
1,2,2,3,0.70359,0.70482,1.021,1.013,0.2745,0.2705,0.7465,0.7565,0.26162,0.26359,5.2125,2.5661,5.3108,-0.03211,0.071343,0.063461,0.47871,0.47871,0.67545,0.72127,0.4547,0.3773,0.91333,0.81492,0.58618,0.56513,0.73215,0.82318,0.57973,0.53925,3.1416,1.6939,0.7456,1,0.97093,0.88956,0.038679,0.0084504,1.0506,0.35013,0.90901,0.018257,-0.002,-0.0039177
1,2,2,3,0.80496,0.62289,0.931,0.9195,0.232,0.2405,0.675,0.671,0.25013,0.26383,5.7165,2.827,5.7019,-0.28998,0.053401,0.097104,0.49913,0.49913,0.65437,0.59085,0.33871,0.39049,0.81994,0.76542,0.57725,0.52064,0.94777,0.7408,0.58342,0.56933,1.5077,1.7572,0.7485,1,0.9657,0.91289,-0.036653,0.008649,1.0862,0.31108,0.97183,-0.023914,-0.0065,-0.013963
1,2,2,3,0.67361,0.7006,0.889,0.876,0.229,0.236,0.645,0.6465,0.26615,0.272,5.9864,2.9675,5.5843,0.227,0.034278,0.05086,0.55804,0.55804,0.64925,0.64637,0.34485,0.38941,0.81273,0.83192,0.56892,0.56922,0.76156,0.81794,0.57731,0.55775,2.193,1.677,0.79145,1,0.97715,0.93578,-0.070429,0.0076615,1.0733,0.31798,0.95479,-0.0638,-0.0175,-0.03937
1,2,3,1,0.6211,0.70834,1.126,1.095,0.414,0.369,0.727,0.749,0.36017,0.32941,4.7264,4.8602,4.5676,0.87494,0.052649,0.11058,0.47871,0.47871,0.68885,0.69211,0.34077,0.3822,0.76608,0.88043,0.57246,0.57318,0.71788,0.77362,0.63063,0.56535,2.3172,1.99,0.75349,1,0.97983,0.87169,-0.06972,0.010526,1.1485,0.31554,1.0499,-0.067547,-0.055,-0.097691
1,2,3,1,0.72559,0.78594,1.1065,1.1055,0.408,0.4065,0.7005,0.717,0.3689,0.35925,4.8097,4.814,4.7796,0.82761,0.084749,0.19863,0.44389,0.44389,0.7306,0.7624,0.3064,0.37256,0.80697,0.92479,0.6207,0.63995,0.82926,0.87248,0.6961,0.59441,1.5708,2.9274,0.74093,1,0.99069,0.80784,-0.10512,0.014019,1.1727,0.44098,1.017,-0.084589,-0.1225,-0.22142
1,2,3,1,0.70648,0.75249,1.144,1.132,0.378,0.38,0.75,0.751,0.31951,0.31902,4.652,4.7013,4.7198,0.99447,0.056548,0.089501,0.46165,0.46165,0.62489,0.69507,0.34006,0.37566,0.85353,0.91447,0.56001,0.59399,0.77838,0.86335,0.60593,0.5624,2.3444,3.1416,0.80647,1,0.99106,0.82525,-0.084086,0.0072856,1.1697,0.23811,1.0901,-0.063237,-0.033,-0.057692
1,2,3,2,0.66948,0.76155,0.936,0.925,0.254,0.287,0.674,0.637,0.27411,0.31144,5.6858,4.3243,5.803,0.26463,0.035928,0.09389,0.52083,0.52083,0.6524,0.61348,0.41337,0.40678,0.83505,0.87666,0.57499,0.56901,0.8257,0.86753,0.60108,0.54111,3.1416,2.039,0.74509,1,0.98072,0.90401,-0.061406,0.01008,1.1191,0.33946,0.99824,-0.051251,-0.031,-0.066239
1,2,3,2,0.71408,0.73996,0.938,0.914,0.281,0.239,0.655,0.678,0.29304,0.25762,5.6737,4.3764,5.3726,0.10865,0.05103,0.047497,0.54506,0.54506,0.74111,0.62827,0.344,0.42152,0.84815,0.86177,0.61423,0.58362,0.81655,0.82202,0.61328,0.55105,1.5708,2.0257,0.74322,1,0.99235,0.89291,-0.035006,0.0098991,1.095,0.42606,0.92958,-0.040699,-0.027,-0.057569
1,2,3,2,0.77008,0.74284,1.0585,1.051,0.2895,0.308,0.753,0.7315,0.27232,0.29966,5.0279,3.8059,5.1908,0.43605,0.044842,0.076064,0.4695,0.4695,0.68577,0.70384,0.37168,0.39419,0.88697,0.88292,0.60691,0.60743,0.8673,0.84899,0.64041,0.52865,1.5018,3.1416,0.75542,1,0.97349,0.87699,-0.027375,0.0080351,1.1064,0.39745,0.95219,-0.027563,-0.0255,-0.048181
1,2,3,3,0.6821,0.78436,0.962,0.962,0.271,0.269,0.692,0.702,0.2831,0.27884,5.5321,2.7021,5.5232,-0.083613,0.03591,0.044117,0.53267,0.53267,0.68676,0.64012,0.36986,0.36969,0.80043,0.87743,0.59793,0.57741,0.81255,0.86953,0.60874,0.59893,1.5201,2.0248,0.74956,1,0.98231,0.9099,0.073224,0.013717,1.1052,0.4178,0.93828,0.027009,0,0
1,2,3,3,0.71423,0.7755,0.9195,0.93,0.264,0.2505,0.6595,0.6605,0.28226,0.27447,5.7879,2.7951,5.8862,-0.96843,0.04166,0.051351,0.53074,0.53074,0.74851,0.67423,0.36089,0.38512,0.82132,0.79379,0.59233,0.62192,0.85205,0.84807,0.65847,0.55334,1.5051,1.5708,0.72484,1,0.95827,0.94206,0.11738,0.022778,1.0879,0.46168,0.90708,0.059675,0.0085,0.018488
1,2,3,3,0.63121,0.60276,0.8855,0.8915,0.246,0.221,0.644,0.674,0.2737,0.24368,6.0101,2.9158,6.0417,-0.33489,0.040308,0.037251,0.53267,0.53267,0.67341,0.65493,0.3663,0.44672,0.80582,0.75366,0.58536,0.57611,0.73217,0.73343,0.62605,0.50193,1.4715,2.3728,0.73176,1,0.97724,0.91975,0.054047,0.010804,1.059,0.38996,0.92325,0.026222,-0.0005,-0.0011293
1,3,1,1,0.83407,0.84514,1.7505,1.7255,0.667,0.643,1.031,1.056,0.37936,0.38954,3.0404,3.0844,3.0842,0.85421,0.10046,0.072036,0.3102,0.3102,0.76426,0.74892,0.36839,0.39469,0.92255,0.92797,0.70255,0.72901,0.90954,0.88092,0.691,0.64588,2.7879,2.7857,0.74354,1,0.9982,0.53871,0.088344,0.0080678,1.2933,0.17084,1.2349,0.050445,0.0135,0.015424
1,3,1,1,0.8389,0.86688,1.637,1.57,0.574,0.58,1.082,0.974,0.35913,0.36753,3.251,3.3898,3.253,1.136,0.084409,0.064527,0.31635,0.31635,0.7517,0.74461,0.34614,0.38329,0.93341,0.95038,0.73067,0.71645,0.86699,0.90452,0.64392,0.64128,3.1416,3.1416,0.75921,1,0.99542,0.53154,0.080822,0.0053788,1.2811,0.19065,1.2041,0.05546,0.01,0.012217
1,3,1,1,0.85732,0.77902,1.6555,1.696,0.6025,0.636,1.059,1.068,0.34532,0.36045,3.215,3.1381,3.3597,0.98225,0.054724,0.064105,0.29871,0.29871,0.7797,0.72944,0.3816,0.37917,0.93978,0.92222,0.69879,0.6749,0.92199,0.87772,0.67053,0.6527,3.1416,3.1416,0.72651,1,0.9989,0.52757,0.05025,0.0040225,1.3001,0.1602,1.2441,0.030901,-0.025,-0.030202
1,3,1,2,0.74516,0.78063,2.015,2.0435,0.763,0.764,1.242,1.226,0.38141,0.38701,2.6412,1.9575,2.8551,0.083878,0.11244,0.089106,0.2414,0.2414,0.75705,0.75584,0.34868,0.36607,0.89467,0.85042,0.66727,0.67659,0.86591,0.90793,0.64618,0.64022,2.9404,2.4368,0.73743,1,0.99852,0.47843,0.059789,0.0047154,1.2671,0.18782,1.2199,0.034795,0.0135,0.0134
1,3,1,2,0.875,0.81944,1.5355,1.5445,0.5735,0.59,0.961,0.9665,0.3778,0.37411,3.4659,2.5899,3.5773,0.28675,0.061587,0.052327,0.32124,0.32124,0.78375,0.77113,0.37316,0.38489,0.96292,0.88971,0.73536,0.75616,0.92634,0.85363,0.69331,0.60135,2.6427,3.1416,0.73385,1,0.99914,0.59861,0.08311,0.01038,1.2557,0.19373,1.1867,0.051956,-0.007,-0.0091176
1,3,1,2,0.90439,0.84263,1.5735,1.591,0.6045,0.604,0.972,0.991,0.37793,0.37597,3.3822,2.5141,3.5794,0.3217,0.052893,0.044322,0.313,0.313,0.80337,0.78376,0.40129,0.38214,0.97308,0.93863,0.74715,0.76679,0.93043,0.88483,0.7294,0.63105,2.8729,3.1416,0.72047,1,0.99901,0.59019,0.06699,0.0077303,1.2924,0.17224,1.2343,0.030941,-0.037,-0.047029
1,3,1,3,0.88266,0.86061,1.3005,1.276,0.469,0.459,0.817,0.824,0.35918,0.36776,4.0923,2.0372,4.3953,-0.12885,0.062832,0.051794,0.39673,0.39673,0.81251,0.77074,0.31879,0.29457,0.9535,0.90891,0.77444,0.7941,0.91963,0.87676,0.71089,0.61915,3.1416,1.7215,0.78637,1,0.97382,0.79989,0.079678,0.0061054,1.2185,0.31809,1.0969,0.054669,0.023,0.035371
1,3,1,3,0.79632,0.80577,1.3135,1.2915,0.486,0.4665,0.816,0.8225,0.36918,0.36907,4.0517,2.0127,4.0037,-0.092953,0.059254,0.031574,0.39405,0.39405,0.75865,0.76417,0.32955,0.24731,0.90174,0.85266,0.71981,0.74661,0.8662,0.82223,0.64822,0.63381,3.1416,2.5947,0.76653,1,0.99864,0.70192,0.074123,0.0054085,1.214,0.20746,1.1493,0.039695,0.01,0.015226
