grp,pp,S,ID,peakVel,MT,accTime,decTime,accQ,IPerf,IPerfEf,Harmonicity,f,vfTrajCircularity,vfCircularity,q1,q2,q3,q4,maxangle
1,3,2,1,0.88895,0.323,0.155,0.165,0.49508,8.0479,11.123,1,1.5625,0.87254,0.14348,0.83942,0.9088,0.90207,0.8179,0.91016
1,3,2,1,0.95031,0.3295,0.164,0.167,0.49631,7.8893,11.218,1,1.4974,0.90052,0.15856,0.87329,0.94381,0.9262,0.87149,0.89827
1,3,2,2,0.85476,0.641,0.265,0.371,0.40748,6.2402,7.1639,0.13887,0.78125,0.8321,0.20801,0.81861,0.77565,0.92187,0.76915,3.1416
1,3,2,2,0.87037,0.579,0.2505,0.349,0.40248,6.9085,8.0438,0.093747,0.82031,0.8403,0.21862,0.84541,0.81732,0.89293,0.7588,1.5708
1,3,2,2,0.85282,0.609,0.268,0.358,0.42322,6.5681,7.2856,0.10373,0.7487,0.81652,0.22963,0.82191,0.78833,0.89665,0.75464,2.1839
1,3,2,3,0.77135,0.9585,0.4315,0.5345,0.44016,5.5524,5.9206,0.11739,0.49867,0.75672,0.26846,0.8154,0.71333,0.86975,0.73094,3.1416
1,3,2,3,0.86692,0.946,0.3915,0.5395,0.41185,5.6257,5.848,0.080156,0.50951,0.83578,0.2754,0.86104,0.7768,0.91525,0.78297,3.1416
1,3,2,3,0.86528,0.8985,0.3635,0.531,0.42017,5.9232,6.2101,0.11751,0.55427,0.8387,0.29288,0.85228,0.74864,0.93614,0.82912,3.1416
1,3,3,1,0.88789,0.2975,0.1465,0.1515,0.5026,8.7377,12.227,1,1.7439,0.86905,0.16624,0.85908,0.92623,0.86709,0.81883,0.99283
1,3,3,1,0.91779,0.33,0.1685,0.1635,0.50586,7.8772,10.058,1,1.4974,0.88699,0.1726,0.87368,0.96116,0.89171,0.80649,0.93223
1,3,3,1,0.90063,0.29,0.1515,0.1485,0.51527,8.9637,12.4,1,1.6741,0.88467,0.14581,0.85954,0.95046,0.8772,0.81893,1.0877
1,3,3,2,0.89147,0.562,0.24,0.3235,0.42872,7.1175,7.6702,0.16446,0.939,0.85608,0.21716,0.85476,0.84044,0.91883,0.79663,1.3529
