grp,pp,S,IDL,IDR,peakVelL,peakVelR,MTL,MTR,accTimeL,accTimeR,decTimeL,decTimeR,accQL,accQR,IPerfL,IPerfR,IPerfEfL,IPerfEfR,HarmonicityL,HarmonicityR,fL,fR,vfTrajCircularityL,vfTrajCircularityR,vfCircularityL,vfCircularityR,q1L,q1R,q2L,q2R,q3L,q3R,q4L,q4R,maxangleL,maxangleR,MI,rho,flsPC,flsAmp,phDiffMean,phDiffStd,d4D,d3D,d2D,d1D,minPeakDelay,minPeakDelayNorm
1,2,1,2,2,0.83537,0.77039,1.7305,1.729,0.5715,0.5875,1.1735,1.1545,0.32551,0.33301,3.0754,2.3135,3.3633,0.4654,0.066873,0.093205,0.29871,0.28722,0.74794,0.66645,0.45421,0.45026,0.93168,0.84793,0.62416,0.55003,0.92636,0.88783,0.59145,0.58046,3.1416,2.2614,0.77599,1,0.98244,0.46661,-0.029104,0.0070362,1.1766,0.21513,1.0933,-0.0094714,-0.042,-0.048541
1,2,1,2,2,0.76201,0.75925,1.5825,1.5715,0.523,0.554,1.045,1.002,0.33592,0.35028,3.363,2.5455,3.4973,0.2642,0.08532,0.10273,0.313,0.313,0.67185,0.64753,0.33327,0.41649,0.88606,0.87543,0.60556,0.59363,0.84625,0.83247,0.60427,0.58369,2.8973,3.1416,0.76589,1,0.98569,0.65219,-0.065662,0.00921,1.1578,0.2367,1.0704,-0.038874,-0.022,-0.027804
1,2,1,2,3,0.83141,0.7765,1.694,1.7625,0.63,0.5865,1.06,1.111,0.36998,0.34315,3.1416,3.0196,3.2737,0.86946,0.072793,0.096797,0.29033,0.29033,0.66247,0.6794,0.43299,0.46588,0.92786,0.90888,0.64918,0.57472,0.89832,0.89504,0.56493,0.51604,2.8293,2.8535,0.76627,1,0.99401,0.58444,0.023636,0.0041439,1.1883,0.17835,1.1182,0.024696,-0.0155,-0.0183
1,2,1,2,3,0.76305,0.75745,1.7245,1.7235,0.608,0.5925,1.08,1.1395,0.35649,0.34032,3.0861,3.0879,3.2465,0.79731,0.085001,0.11984,0.30227,0.30227,0.68914,0.68686,0.41075,0.52794,0.85672,0.92437,0.64732,0.60028,0.90945,0.8087,0.60629,0.52399,2.1331,2.9616,0.72123,1,0.99385,0.59617,0.036093,0.017451,1.161,0.24744,1.0811,0.024174,-0.0455,-0.052769
1,2,1,2,3,0.75243,0.81194,1.846,1.8555,0.641,0.6345,1.223,1.2195,0.34078,0.33247,2.883,2.8682,3.1565,0.73496,0.065563,0.091711,0.26829,0.26829,0.70248,0.70613,0.36204,0.49646,0.88388,0.93303,0.61168,0.55586,0.8432,0.90065,0.6126,0.53524,3.1416,2.4405,0.85347,1,0.97834,0.59645,0.068738,0.0097724,1.1959,0.24718,1.1228,0.053232,0.0085,0.0092091
1,2,2,1,1,0.83139,0.89607,0.25,0.2505,0.1295,0.135,0.122,0.12,0.51209,0.52439,10.398,10.377,11.955,-4.992,1,1,2.0345,2.0345,0.8245,0.86636,0.10402,0.12445,0.84396,0.78803,0.79231,0.91593,0.78404,0.86934,0.85663,0.83431,0.78933,0.81935,0.76233,1,0.99895,0.77852,-0.06853,0.016352,1.1896,0.88479,0.8019,-0.11103,0.006,0.048
1,2,2,1,1,0.87236,0.89735,0.222,0.221,0.109,0.1115,0.1115,0.11,0.49793,0.51226,11.71,11.762,11.855,-3.4967,1,1,2.3082,2.3082,0.84957,0.88229,0.13651,0.1197,0.88766,0.87307,0.84233,0.87683,0.81735,0.83619,0.86185,0.89946,0.81952,0.77014,0.74051,1,0.9853,0.81087,0.024312,0.0081887,1.2089,0.89666,0.79233,0.0059278,-0.002,-0.018018
1,2,2,1,1,0.80044,0.88448,0.2515,0.2445,0.1285,0.1295,0.1205,0.118,0.5162,0.52494,10.336,10.632,10.648,-4.8395,1,1,2.1159,2.1159,0.78673,0.85709,0.12636,0.13271,0.80421,0.85401,0.81285,0.85429,0.73448,0.82115,0.79951,0.86105,0.86669,0.94453,0.73344,1,0.99655,0.80142,0.0080195,0.016495,1.161,0.8749,0.7539,-0.024081,0.003,0.023857
1,2,2,1,2,0.86116,0.86111,0.4695,0.461,0.2255,0.2275,0.25,0.2395,0.46546,0.48328,5.5367,8.677,7.3517,-0.34489,1,1,1.1039,1.1039,0.84946,0.84537,0.17542,0.15624,0.88896,0.84643,0.86751,0.83435,0.82481,0.88224,0.82307,0.83361,1.3151,1.251,0.74398,1,0.9938,0.99825,-0.0070718,0.0062779,1.2247,0.80944,0.89799,-0.023268,0.008,0.034079
1,2,2,1,2,0.85702,0.8624,0.3875,0.3845,0.1885,0.195,0.198,0.1905,0.49867,0.51021,6.7083,10.403,9.3511,-0.29132,1,1,1.285,1.285,0.83982,0.86048,0.16539,0.136,0.86176,0.86451,0.89876,0.87079,0.81241,0.84649,0.79963,0.85247,1.0657,1.1469,0.74851,1,0.98316,0.9977,0.0011516,0.0066186,1.2049,0.86114,0.8413,0.0023902,0.002,0.010323
